"cod_centro","barrio","titular","rut","coords"
"102391","12A","EMPRESAS AQUACHILE S.A.","86247400-7","73.6629166666667,43.2567055555556"
"102400","15","MOWI CHILE S.A.","96633780-K","73.1183777777778,42.6607222222222"
"102401","15","MOWI CHILE S.A.","96633780-K","73.0826388888889,42.6109361111111"
"102402","15","MOWI CHILE S.A.","96633780-K","73.0126527777778,42.5900083333333"
"102403","15","MOWI CHILE S.A.","96633780-K","73.0534861111111,42.6655777777778"
"102418","10B","SALMONES CAMANCHACA S.A.","76065596-1","73.5851277777778,42.7495138888889"
"102423","15","CULTIVOS YADRAN S.A.","96550920-8","72.9726722222222,42.7295972222222"
"102424","15","FIORDO BLANCO S.A.","96540710-3","73.01085,42.7415527777778"
"102458","7","CERMAQ CHILE S.A.","79784980-4","73.3366638888889,42.1581111111111"
"102459","17A","MOWI CHILE S.A.","96633780-K","72.5726694444444,42.1958583333333"
"102493","15","MOWI CHILE S.A.","96633780-K","72.9963305555556,42.6297944444444"
"102498","4A","SALMOCONCESIONES S.A.","96603640-0","73.5105868611111,41.5572873055556"
"102504","8","CERMAQ CHILE S.A.","79784980-4","73.1519166666667,42.4014277777778"
"102505","8","CERMAQ CHILE S.A.","79784980-4","73.0668972222222,42.3004694444444"
"102512","12B","INVERMAR S.A.","79797990-2","73.6582361111111,43.2871222222222"
"102541","9A","SALMONES MULTIEXPORT S.A.","79891160-0","73.4662833333333,42.430375"
"102554","10A","MOWI CHILE S.A.","96633780-K","73.5344638888889,42.5482"
"102562","9C","CERMAQ CHILE S.A.","79784980-4","73.2859,42.6289638888889"
"102582","14","CULTIVOS YADRAN S.A.","96550920-8","72.7773333333333,43.0411694444444"
"102594","12A","CULTIVOS YADRAN S.A.","96550920-8","73.495275,43.1434388888889"
"102595","11","NUEVA CERMAQ CHILE S.A.","77026097-3","73.584625,43.0458083333333"
"102618","17A","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4264416666667,42.4267777777778"
"102619","14","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.813325,42.9407472222222"
"102621","4A","SALMOCONCESIONES S.A.","96603640-0","73.561977,41.6053843611111"
"102622","2","SALMONES CAMANCHACA S.A.","76065596-1","72.8250083333333,41.8827527777778"
"102648","8","SALMONES ANTARTICA S.A.","86100500-3","73.1462138888889,42.3192416666667"
"102654","15","MOWI CHILE S.A.","96633780-K","73.0800555555555,42.7288638888889"
"102670","2","TRUSAL S.A.","96566740-7","72.9886388888889,41.5180861111111"
"102677","8","SALMONES ANTARTICA S.A.","86100500-3","73.1964222222222,42.3256333333333"
"102682","2","SALMONES CAMANCHACA S.A.","76065596-1","72.689775,41.7694527777778"
"102712","6","SALMONES HUMBOLDT SPA","76175118-2","73.8866083333333,41.7977805555556"
"102714","10A","SALMONES TECMAR S.A.","79809870-5","73.5308222222222,42.6729916666667"
"102728","17A","MOWI CHILE S.A.","96633780-K","72.555625,42.1366472222222"
"102741","2","SALMONES TECMAR S.A.","79809870-5","72.6626694444444,41.7480722222222"
"102742","9B","TRUSAL S.A.","96566740-7","73.2765166666667,42.4317972222222"
"102765","17A","FIORDO BLANCO S.A.","96540710-3","72.4339333333333,42.3710222222222"
"102784","16","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.7846583333333,42.3554333333333"
"102789","8","SALMONES ANTARTICA S.A.","86100500-3","73.1032111111111,42.3943722222222"
"102798","3A","ABARCA CASTELLI"," OCTAVIO AGUSTINO","6027314-6,73.1499166666667,41.7538305555556"
"102812","17A","FIORDO BLANCO S.A.","96540710-3","72.4380888888889,42.2570222222222"
"102813","17A","FIORDO BLANCO S.A.","96540710-3","72.5330444444444,42.2250805555556"
"102818","9B","TRUSAL S.A.","96566740-7","73.3215166666667,42.4071416666667"
"102829","16","FIORDO BLANCO S.A.","96540710-3","72.7029916666667,42.5163305555556"
"102831","17A","MOWI CHILE S.A.","96633780-K","72.48645,42.161075"
"102832","9C","MOWI CHILE S.A.","96633780-K","73.2806527777778,42.5825138888889"
"102833","2","MOWI CHILE S.A.","96633780-K","72.8873888888889,41.7062444444444"
"102837","12A","CERMAQ CHILE S.A.","79784980-4","73.4691722222222,43.1341638888889"
"102850","7","CERMAQ CHILE S.A.","79784980-4","73.3979916666667,42.1738166666667"
"102856","15","CULTIVOS YADRAN S.A.","96550920-8","73.0626333333333,42.5867277777778"
"102868","17A","FIORDO BLANCO S.A.","96540710-3","72.4546388888889,42.3445027777778"
"102874","11","CULTIVOS YADRAN S.A.","96550920-8","73.4382111111111,42.8942111111111"
"102882","2","AQUACHILE S. A.","79800600-2","72.6905333333333,41.7260277777778"
"102894","13","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.9135611111111,43.1325388888889"
"102895","13","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.8839055555556,43.2153027777778"
"102906","16","AGUAS CLARAS S.A.","96509550-0","72.7647222222222,42.3804611111111"
"102907","16","AGUAS CLARAS S.A.","96509550-0","72.7950277777778,42.3566083333333"
"102914","16","FIORDO BLANCO S.A.","96540710-3","72.73455,42.4029944444444"
"102925","17B","MOWI CHILE S.A.","96633780-K","72.5895027777778,42.0984888888889"
"102928","15","INVERMAR S.A.","79797990-2","73.064475,42.7107805555556"
"102930","2","TRUSAL S.A.","96566740-7","72.8906861111111,41.8747"
"102933","14","SALMONES HUMBOLDT SPA","76175118-2","72.8497083333333,42.6379805555556"
"102934","9A","INVERMAR S.A.","79797990-2","73.4215916666667,42.4343416666667"
"102936","14","SALMONES HUMBOLDT SPA","76175118-2","72.8164333333333,42.8521"
"102945","16","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.5412944444444,42.57385"
"102946","13","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.8958361111111,43.1656805555556"
"102956","15","INVERMAR S.A.","79797990-2","73.0562694444444,42.6237055555556"
"102963","10B","SALMONES ANTARTICA S.A.","86100500-3","73.7476111111111,42.6265388888889"
"102966","14","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.8472861111111,43.024825"
"102967","9B","TRUSAL S.A.","96566740-7","73.3071361111111,42.4616416666667"
"102987","10B","CERMAQ CHILE S.A.","79784980-4","73.7752722222222,42.6011861111111"
"102988","14","TRUSAL S.A.","96566740-7","72.8230555555556,43.0136583333333"
"102994","16","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.7847833333333,42.5001555555556"
"103302","13","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.9109444444445,43.2492777777778"
"103304","15","INVERMAR S.A.","79797990-2","73.0022277777778,42.7923583333333"
"103306","15","INVERMAR S.A.","79797990-2","73.0972388888889,42.7677944444444"
"103307","15","INVERMAR S.A.","79797990-2","73.1214166666667,42.6615472222222"
"103308","15","INVERMAR S.A.","79797990-2","73.1233888888889,42.6896333333333"
"103310","17A","INVERMAR S.A.","79797990-2","72.4674,42.3132333333333"
"103312","16","AGUAS CLARAS S.A.","96509550-0","72.8168777777778,42.3251527777778"
"103313","16","TRUSAL S.A.","96566740-7","72.8360694444444,42.3009444444444"
"103319","8","TRUSAL S.A.","96566740-7","73.200725,42.3853361111111"
"103327","12A","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","73.4732027777778,43.1002138888889"
"103333","8","INVERMAR S.A.","79797990-2","73.0441444444444,42.2490444444444"
"103337","16","INVERMAR S.A.","79797990-2","72.8296222222222,42.5510694444444"
"103339","15","INVERMAR S.A.","79797990-2","73.036825,42.7834388888889"
"103340","14","INVERMAR S.A.","79797990-2","72.8457111111111,42.7992611111111"
"103341","2","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.9906944444444,41.8641138888889"
"103372","12A","CERMAQ CHILE S.A.","79784980-4","73.5801944444444,43.2147638888889"
"103376","11","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","73.4865944444444,43.0871222222222"
"103384","7","TRUSAL S.A.","96566740-7","73.3499333333333,42.2197277777778"
"103414","9B","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","73.2301583333333,42.4597194444444"
"103418","17A","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4569333333333,42.1819638888889"
"103420","2","TRUSAL S.A.","96566740-7","72.6824388888889,41.7282111111111"
"103421","11","CERMAQ CHILE S.A.","79784980-4","73.4470472222222,43.0343166666667"
"103440","12A","CERMAQ CHILE S.A.","79784980-4","73.4682555555556,43.1678416666667"
"103445","6","MOWI CHILE S.A.","96633780-K","73.5454305555556,41.9532527777778"
"103452","1","CALETA BAY MAR SPA","79910700-7","72.4981222222222,41.7240055555556"
"103455","1","FRÍO SALMON SPA","96537020-K","72.5402888888889,41.7051916666667"
"103456","17B","FRÍO SALMON SPA","96537020-K","72.6073555555555,42.1198166666667"
"103457","17B","FRÍO SALMON SPA","96537020-K","72.6160305555556,42.1273305555556"
"103458","17A","FRÍO SALMON SPA","96537020-K","72.5013777777778,42.1702638888889"
"103466","2","TRUSAL S.A.","96566740-7","72.6741083333333,41.6283666666667"
"103471","14","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.8629944444444,43.0382833333333"
"103489","7","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","73.3786111111111,42.1071055555556"
"103499","17B","FRÍO SALMON SPA","96537020-K","72.47375,41.9923083333333"
"103514","14","TRUSAL S.A.","96566740-7","72.7563333333333,43.0135694444444"
"103517","1","SALMONES CAMANCHACA S.A.","76065596-1","72.3142861111111,41.555075"
"103527","2","SALMONES CAMANCHACA S.A.","76065596-1","72.7796333333333,41.8247722222222"
"103528","10A","SALMONES MULTIEXPORT S.A.","79891160-0","73.4965833333333,42.5427138888889"
"103536","2","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","72.7497694444444,41.5879416666667"
"103540","1","TRUSAL S.A.","96566740-7","72.56095,41.7129861111111"
"103541","13","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","73.0337694444444,43.3073194444444"
"103553","12C","SALMONES PACIFIC STAR S.A.","79559220-2","74.2601277777778,43.3349444444444"
"103558","12B","SALMONES PACIFIC STAR S.A.","79559220-2","73.6979083333333,43.3972805555556"
"103559","12C","SALMONES PACIFIC STAR S.A.","79559220-2","74.1934583333333,43.4672055555556"
"103563","11","INVERMAR S.A.","79797990-2","73.3128555555556,43.034875"
"103565","1","TRUSAL S.A.","96566740-7","72.3741833333333,41.6763888888889"
"103566","8","INVERMAR S.A.","79797990-2","73.0059277777778,42.2452388888889"
"103590","17B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4990944444445,42.0200944444444"
"103593","17A","CALETA BAY MAR SPA","79910700-7","72.461875,42.2111722222222"
"103595","1","CALETA BAY MAR SPA","79910700-7","72.4420083333333,41.6835194444444"
"103626","17A","TRUSAL S.A.","96566740-7","72.4607555555556,42.3361722222222"
"103634","2","SALMONES HUMBOLDT SPA","76175118-2","72.8330083333333,41.5321472222222"
"103639","11","SALMONES HUMBOLDT SPA","76175118-2","73.4444694444445,43.0739333333333"
"103661","1","CALETA BAY MAR SPA","79910700-7","72.4439111111111,41.6918333333333"
"103673","1","SALMONES CAMANCHACA S.A.","76065596-1","72.3291083333333,41.63255"
"103694","2","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","72.706375,41.6563777777778"
"103699","16","SALMONES HUMBOLDT SPA","76175118-2","72.6688166666667,42.5238555555556"
"103701","9C","SALMONES MULTIEXPORT S.A.","79891160-0","73.2348333333333,42.59225"
"103704","1","SALMONES CAMANCHACA S.A.","76065596-1","72.3296416666667,41.601"
"103722","14","TRUSAL S.A.","96566740-7","72.81055,42.9594277777778"
"103727","2","SALMONES HUMBOLDT SPA","76175118-2","72.6874222222222,41.7215277777778"
"103731","12C","SALMONES PACIFIC STAR S.A.","79559220-2","74.0158277777778,43.3897916666667"
"103734","16","SALMONES HUMBOLDT SPA","76175118-2","72.7024611111111,42.4371555555555"
"103735","1","TRUSAL S.A.","96566740-7","72.5319583333333,41.7024555555556"
"103737","8","SALMONES MULTIEXPORT S.A.","79891160-0","73.1490888888889,42.3829527777778"
"103740","13","SALMONES HUMBOLDT SPA","76175118-2","72.9762583333333,43.2659861111111"
"103741","13","SALMONES HUMBOLDT SPA","76175118-2","73.0660333333333,43.4156027777778"
"103742","14","TRUSAL S.A.","96566740-7","72.7961666666667,42.9835805555556"
"103746","9A","SALMONES ANTARTICA S.A.","86100500-3","73.4135472222222,42.3888444444444"
"103748","11","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","73.4749666666667,42.9845666666667"
"103750","3B","TRUSAL S.A.","96566740-7","73.2322,41.8197416666667"
"103771","2","CERMAQ CHILE S.A.","79784980-4","73.0236027777778,41.7805"
"103780","3B","MOWI CHILE S.A.","96633780-K","73.4424416666667,41.7874888888889"
"103805","8","CERMAQ CHILE S.A.","79784980-4","73.0956666666667,42.3226194444444"
"103813","17A","TRUSAL S.A.","96566740-7","72.5392861111111,42.2152861111111"
"103814","14","TRUSAL S.A.","96566740-7","72.7853805555555,43.0267555555556"
"103822","9B","MOWI CHILE S.A.","96633780-K","73.2499388888889,42.5159361111111"
"103824","8","TRUSAL S.A.","96566740-7","73.3510444444444,42.3197666666667"
"103845","9C","SALMONES ANTARTICA S.A.","86100500-3","73.3097916666667,42.5643527777778"
"103846","2","GANADERA DEL MAR DECIMA REGION S.A.","96523450-0","72.7127777777778,41.6988"
"103894","1","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","72.4569305555556,41.6988555555556"
"103897","2","SALMONES HUMBOLDT SPA","76175118-2","72.811425,41.850675"
"103900","1","FIORDO BLANCO S.A.","96540710-3","72.5135472222222,41.6884333333333"
"103923","17B","SALMONES HUMBOLDT SPA","76175118-2","72.6500888888889,42.0254444444444"
"103939","14","TRUSAL S.A.","96566740-7","72.7805361111111,42.934425"
"103944","17A","SALMONES HUMBOLDT SPA","76175118-2","72.6449305555556,42.2100111111111"
"103965","17A","TRUSAL S.A.","96566740-7","72.55135,42.2050333333333"
"103966","2","TRUSAL S.A.","96566740-7","73.0231666666667,41.6302361111111"
"104012","4B","SALMONES HUMBOLDT SPA","76175118-2","73.8596611111111,40.9045166666667"
"104040","2","SALMONES BLUMAR S.A.","76653690-5","72.7124694444445,41.7469083333333"
"104063","1","CALETA BAY MAR SPA","79910700-7","72.5802944444444,41.7355611111111"
"104065","1","AGUAS CLARAS S.A.","96509550-0","72.324875,41.4988805555556"
"104066","2","SALMONES AYSEN S.A.","76650680-1","72.9865888888889,41.8449944444444"
"104074","14","SALMONES HUMBOLDT SPA","76175118-2","72.8497083333333,42.7101611111111"
"104085","8","SALMONES HUMBOLDT SPA","76175118-2","73.2166944444444,42.2496944444444"
"104087","17B","FRÍO SALMON SPA","96537020-K","72.5957194444444,42.0553916666667"
"104090","1","SALMONES CAMANCHACA S.A.","76065596-1","72.3488527777778,41.5713833333333"
"104097","14","TRUSAL S.A.","96566740-7","72.8146888888889,43.0240305555556"
"104100","12B","SALMONES PACIFIC STAR S.A.","79559220-2","73.7710527777778,43.3146694444444"
"104102","4B","BARRIA GUNCKEL"," CARLOS MARCELO","10230128-5,73.7381672222222,41.5756911944444"
"104104","14","TRUSAL S.A.","96566740-7","72.7990222222222,43.0232861111111"
"104109","9B","TRUSAL S.A.","96566740-7","73.237075,42.4889777777778"
"104110","8","CERMAQ CHILE S.A.","79784980-4","73.2608138888889,42.2422805555556"
"104111","10A","CERMAQ CHILE S.A.","79784980-4","73.5401027777778,42.5756416666667"
"104114","8","SALMONES HUMBOLDT SPA","76175118-2","73.0751555555556,42.2324638888889"
"104118","11","CULTIVOS YADRAN S.A.","96550920-8","73.5166166666667,43.0108722222222"
"104124","8","SALMONES HUMBOLDT SPA","76175118-2","73.1154083333333,42.2227305555556"
"104130","17A","TRUSAL S.A.","96566740-7","72.4543638888889,42.451325"
"104132","13","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","72.9302833333333,43.2094277777778"
"104134","13","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","72.9939638888889,43.2358305555556"
"104135","13","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","72.9724888888889,43.2065416666667"
"104141","15","INVERMAR S.A.","79797990-2","73.1097833333333,42.730725"
"104145","17B","TRUSAL S.A.","96566740-7","72.6418111111111,42.0796722222222"
"104150","16","SALMONES PACIFIC STAR S.A.","79559220-2","72.6719638888889,42.4745"
"104158","13","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","73.0201,43.2721"
"104159","11","NUEVA CERMAQ CHILE S.A.","77026097-3","73.4164722222222,43.0974"
"104160","13","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","72.9410583333333,43.1728222222222"
"104167","9C","SALMONES PACIFIC STAR S.A.","79559220-2","73.2838222222222,42.544575"
"104168","2","SALMONES PACIFIC STAR S.A.","79559220-2","72.7124055555556,41.6230638888889"
"104169","1","TRUSAL S.A.","96566740-7","72.3462194444444,41.6567555555556"
"104172","2","SALMONES PACIFIC STAR S.A.","79559220-2","72.7797888888889,41.5517527777778"
"104174","1","TRUSAL S.A.","96566740-7","72.6091638888889,41.7368305555556"
"104187","16","TRUSAL S.A.","96566740-7","72.6603333333333,42.5285333333333"
"104223","9A","TRUSAL S.A.","96566740-7","73.3851333333333,42.5453722222222"
"104234","1","FIORDO BLANCO S.A.","96540710-3","72.4849361111111,41.6886194444444"
"104286","15","SALMONES TECMAR S.A.","79809870-5","72.96535,42.7988861111111"
"110005","28B","SALMONES AUSTRALES S.A.","96775710-1","72.8258055555555,45.4761888888889"
"110005","28B","SALMONES AUSTRALES S.A.","96775710-1","72.8252555555556,45.4781138888889"
"110007","28B","AYSÉN SPA","76917368-4","72.8320861111111,45.4809638888889"
"110015","28B","AYSÉN SPA","76917368-4","72.8398111111111,45.465075"
"110035","28A","AYSÉN SPA","76917368-4","73.4807888888889,45.3255361111111"
"110039","28B","SALMONES AUSTRALES S.A.","96775710-1","72.815925,45.4428083333333"
"110045","28B","AYSÉN SPA","76917368-4","72.9849666666667,45.4487416666667"
"110046","28B","SALMONES ANTARTICA S.A.","86100500-3","72.8833555555556,45.4073444444444"
"110047","28B","SALMONES ANTARTICA S.A.","86100500-3","72.8551916666667,45.3874083333333"
"110054","28B","MOWI CHILE S.A.","96633780-K","72.8192833333333,45.3787527777778"
"110057","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.7104805555556,44.6838416666667"
"110058","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.9996027777778,44.8369888888889"
"110059","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.8882166666667,44.628425"
"110060","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.7174833333333,44.5726361111111"
"110068","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.9118861111111,44.7721111111111"
"110069","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.934525,44.78605"
"110070","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.9509361111111,44.7947166666667"
"110071","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.9996027777778,44.8369888888889"
"110074","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.8945138888889,44.7589472222222"
"110082","28B","SALMONES ANTARTICA S.A.","86100500-3","72.8341666666667,45.4189611111111"
"110105","32","PATAGONIA SALMON FARMING S.A.","96527440-5","72.63185,44.4102194444444"
"110106","32","ACUICOLA PUYUHUAPI S.A.","76040417-9","72.6450861111111,44.4238861111111"
"110108","27","MOWI CHILE S.A.","96633780-K","73.4667805555556,45.7401416666667"
"110110","32","AQUACHILE S. A.","79800600-2","72.6960055555556,44.72315"
"110111","32","AQUACHILE S. A.","79800600-2","72.6915416666667,44.739575"
"110118","28B","MOWI CHILE S.A.","96633780-K","72.842175,45.4622638888889"
"110122","28B","SALMONES ANTARTICA S.A.","86100500-3","72.8322888888889,45.4793694444444"
"110124","28B","AYSÉN SPA","76917368-4","72.8280555555556,45.4265777777778"
"110125","28B","AYSÉN SPA","76917368-4","72.8527666666667,45.4289666666667"
"110126","31A","SALMONES AUSTRALES S.A.","96775710-1","73.3215527777778,44.785675"
"110127","31A","AGUAS CLARAS S.A.","96509550-0","73.2670833333333,44.7931111111111"
"110128","28C","SALMONES ICE VAL LTDA.","78587260-6","73.3158222222222,45.3709861111111"
"110129","27","MOWI CHILE S.A.","96633780-K","73.2984083333333,45.6250583333333"
"110130","28B","AYSÉN SPA","76917368-4","73.2300527777778,45.3105555555556"
"110131","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.9675916666667,44.8159388888889"
"110132","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.8785416666667,44.6580083333333"
"110133","28A","AYSÉN SPA","76917368-4","73.4940333333333,45.3141138888889"
"110134","28A","AYSÉN SPA","76917368-4","73.5085833333333,45.2970333333333"
"110135","26B","AYSÉN SPA","76917368-4","73.6461722222222,45.4338194444444"
"110136","28B","AQUACHILE S. A.","79800600-2","72.8862972222222,45.4664138888889"
"110138","28B","SALMONES AUSTRALES S.A.","96775710-1","72.9957388888889,45.3970027777778"
"110141","27","MOWI CHILE S.A.","96633780-K","73.2987805555556,45.6514361111111"
"110142","27","MOWI CHILE S.A.","96633780-K","73.5162861111111,45.7640333333333"
"110143","27","MOWI CHILE S.A.","96633780-K","73.2979388888889,45.6567388888889"
"110144","27","MOWI CHILE S.A.","96633780-K","73.510575,45.7572027777778"
"110145","27","MOWI CHILE S.A.","96633780-K","73.2248777777778,45.6688138888889"
"110147","27","MOWI CHILE S.A.","96633780-K","73.3654861111111,45.6932555555556"
"110148","30A","SALMOCONCESIONES S.A.","96603640-0","73.309525,45.0924166666667"
"110149","30A","SALMONES MAULLIN LTDA.","79728530-7","73.4288805555556,45.0523333333333"
"110152","32","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","72.8287694444444,44.6451694444444"
"110154","28B","MOWI CHILE S.A.","96633780-K","73.0804611111111,45.3271444444444"
"110168","26B","SALMONES ICE VAL LTDA.","78587260-6","73.3922444444445,45.4095055555556"
"110169","26B","SALMONES ICE VAL LTDA.","78587260-6","73.3805055555555,45.4449416666667"
"110175","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.9004444444444,44.6519"
"110176","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.9437222222222,44.5991583333333"
"110177","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.6721194444444,44.6206611111111"
"110178","32","ACUICOLA PUYUHUAPI S.A.","76040417-9","72.6458166666667,44.4322555555556"
"110181","30A","SALMOCONCESIONES XI REGION S.A.","76666220-K","73.3351722222222,45.1390611111111"
"110186","33","SOCIEDAD ACUICOLA Y COMERCIAL LAS CHAUQUES LTDA.","76808230-8","72.7824472222222,44.4238861111111"
"110189","18A","EMPRESAS AQUACHILE S.A.","86247400-7","73.8184361111111,43.9090472222222"
"110190","18A","EMPRESAS AQUACHILE S.A.","86247400-7","73.8486611111111,43.9426083333333"
"110191","18A","EMPRESAS AQUACHILE S.A.","86247400-7","73.8031861111111,43.9435888888889"
"110193","33","SOCIEDAD ACUICOLA Y COMERCIAL LAS CHAUQUES LTDA.","76808230-8","72.8915583333333,44.2962444444444"
"110199","30A","SALMOCONCESIONES XI REGION S.A.","76666220-K","73.3913083333333,45.0879694444444"
"110200","32","ACUICOLA PUYUHUAPI S.A.","76040417-9","72.5972861111111,44.4336305555556"
"110201","32","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","72.9232305555556,44.6064138888889"
"110202","33","SOCIEDAD ACUICOLA Y COMERCIAL LAS CHAUQUES LTDA.","76808230-8","72.7930861111111,44.4127444444444"
"110204","31A","AGUAS CLARAS S.A.","96509550-0","73.2001972222222,44.8080444444444"
"110205","31B","AGUAS CLARAS S.A.","96509550-0","73.1539361111111,44.5590166666667"
"110206","31B","AGUAS CLARAS S.A.","96509550-0","73.22985,44.6344583333333"
"110207","28B","MOWI CHILE S.A.","96633780-K","73.112075,45.298375"
"110208","28B","SALMONES AUSTRALES S.A.","96775710-1","73.2061361111111,45.2407972222222"
"110209","31A","EMPRESAS AQUACHILE S.A.","86247400-7","73.3482055555556,44.8182055555556"
"110211","32","ACUICOLA PUYUHUAPI S.A.","76040417-9","72.5869472222222,44.3938138888889"
"110212","33","SOC. DE INVERSIONES ISLA VICTORIA LTDA","76004634-5","72.7057611111111,44.4454722222222"
"110213","34","EMPRESAS AQUACHILE S.A.","86247400-7","73.1974833333333,44.0195166666667"
"110214","34","EMPRESAS AQUACHILE S.A.","86247400-7","73.1094472222222,44.046825"
"110215","34","EMPRESAS AQUACHILE S.A.","86247400-7","73.1032583333333,44.0772666666667"
"110216","34","EMPRESAS AQUACHILE S.A.","86247400-7","73.1484833333333,44.0730861111111"
"110217","34","EMPRESAS AQUACHILE S.A.","86247400-7","73.1816194444445,44.0581083333333"
"110218","34","EMPRESAS AQUACHILE S.A.","86247400-7","73.2565361111111,44.1091722222222"
"110219","34","EMPRESAS AQUACHILE S.A.","86247400-7","73.2052,44.1301972222222"
"110220","33","EMPRESAS AQUACHILE S.A.","86247400-7","73.2278972222222,44.1858361111111"
"110221","33","EMPRESAS AQUACHILE S.A.","86247400-7","73.2167472222222,44.19865"
"110222","33","EMPRESAS AQUACHILE S.A.","86247400-7","73.1181638888889,44.1727388888889"
"110223","33","EMPRESAS AQUACHILE S.A.","86247400-7","73.1029944444444,44.1763555555556"
"110224","25A","COOKE AQUACULTURE CHILE S.A.","96926970-8","73.4505222222222,46.1210555555556"
"110225","25B","COOKE AQUACULTURE CHILE S.A.","96926970-8","73.5953944444444,46.3216833333333"
"110226","25B","COOKE AQUACULTURE CHILE S.A.","96926970-8","73.5805,46.2261722222222"
"110227","25A","COOKE AQUACULTURE CHILE S.A.","96926970-8","73.5173972222222,46.1925638888889"
"110228","25B","COOKE AQUACULTURE CHILE S.A.","96926970-8","73.5810138888889,46.3056694444444"
"110229","25B","COOKE AQUACULTURE CHILE S.A.","96926970-8","73.5277694444444,46.2325972222222"
"110230","25A","COOKE AQUACULTURE CHILE S.A.","96926970-8","73.4673972222222,46.1492027777778"
"110234","31B","AGUAS CLARAS S.A.","96509550-0","73.2052027777778,44.5437527777778"
"110240","32","SALMOCONCESIONES XI REGION S.A.","76666220-K","72.5751083333333,44.3279972222222"
"110241","33","EMPRESAS AQUACHILE S.A.","86247400-7","73.1403444444445,44.2609555555556"
"110242","28B","SALMONES AUSTRALES S.A.","96775710-1","72.9455638888889,45.4087638888889"
"110243","33","EMPRESAS AQUACHILE S.A.","86247400-7","73.1120305555555,44.2046277777778"
"110245","21B","EMPRESAS AQUACHILE S.A.","86247400-7","73.7588583333333,44.8888722222222"
"110246","33","CERMAQ CHILE S.A.","79784980-4","72.878025,44.3830611111111"
"110247","21B","EMPRESAS AQUACHILE S.A.","86247400-7","73.7421666666667,44.8928805555556"
"110248","18E","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","73.6735111111111,44.558725"
"110249","21B","EMPRESAS AQUACHILE S.A.","86247400-7","73.8616527777778,44.7722416666667"
"110251","33","CERMAQ CHILE S.A.","79784980-4","72.8389805555556,44.4002"
"110252","21B","EMPRESAS AQUACHILE S.A.","86247400-7","73.7631027777778,44.7230361111111"
"110253","20","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","73.7576027777778,44.5491527777778"
"110254","18E","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","73.6454555555556,44.577275"
"110255","18E","EXPORTADORA LOS FIORDOS LTDA.","79872420-7","73.5920111111111,44.6141638888889"
